"tid";"screen_name"
"716621639564324865";"007cigarjoe"
"704788562290483201";"0123missy"
"724335767833710592";"0boy"
"687370816179310593";"1011CN_News"
"717825957239894016";"1011_News"
"709723978110099457";"1015Mike"
"716390534122606592";"1030_KVOI"
"706994170905239552";"1041kqth"
"707035748105457665";"1041kqth"
"707919930977439744";"1041kqth"
"709375625388122112";"1063WORD"
"719720636495466496";"10News"
"719720636495466496";"10newsvanhyfte"
"686544463141978113";"10SDDem"
"694933501364277248";"10SDDem"
"712623115327516673";"10SDDem"
"722119152597606400";"10SDDem"
"722909798178496513";"10SDDem"
"726458038895431680";"10SDDem"
"693230272691769344";"10TV"
"713036009466896384";"10TV"
"717865236028592128";"10TV"
"717866920393973760";"10TV"
"718454750799405060";"10TV"
"721047947908145152";"10TV"
"699761592603291648";"11AliveNews"
"713471400082874368";"11phenomenon"
"710863702073974786";"1290KOIL"
"715939249699340289";"1290KOIL"
"719561830633512960";"1290KOIL"
"723733548780281856";"1290KOIL"
"728603015117148160";"1290KOIL"
"709889880864722944";"12News"
"712114792492720128";"12News"
"712389561540878336";"12News"
"720253701722546176";"12News"
"709766069808803840";"12pm"
"688741668770689024";"1313Innovation"
"698115461431615488";"1320WILS"
"722018192487489536";"1320WILS"
"710588951757623296";"13a94b823b0e451"
"695618645414662144";"13LauraGeller"
"695618645414662144";"13NewsNow"
"705433438086635520";"1400WBAT"
"715626806112608257";"1430WNAV"
"704397258071023616";"16WAPTNews"
"704500863142752256";"16WAPTNews"
"686693670020624385";"1700West"
"727713280173682688";"1700West"
"707614781000130560";"180099native"
"721056993977450496";"195Commission"
"716322384953757698";"1cheekybastard"
"720605720278740992";"1future"
"694303889827336193";"1JoelFox1"
"715616423125450752";"1KatieOrr"
"714661456109821952";"1LaRenda"
"718167300424265729";"1M26"
"718215199375933440";"1M26"
"692506481082630147";"1MelissaStewart"
"696753763688644609";"1NadineSmith"
"701763900333649920";"1sonny12"
"694619327094370305";"211CT"
"690678476614008832";"21WFMJNews"
"690678493949095936";"21WFMJNews"
"700072149676068865";"21WFMJNews"
"686647193646710784";"23rdNNC"
"686651172044800002";"23rdNNC"
"718541621105549312";"23rdNNC"
"720257342776803328";"23rdNNC"
"722234646684049408";"23rdNNC"
"726810661846659074";"249Toni"
"716768665341788162";"2510_Restaurant"
"687374758376153088";"262MEBrown"
"704729585418690563";"28andJefferson"
"692081803297996800";"2AvSagas"
"712028184229896195";"2AvSagas"
"726630975619346432";"2davidl"
"689968513138692097";"2Dmonds1Pistol"
"725020845622566912";"2presspapers"
"695822059851526144";"2whltrvlr"
"707673037353562113";"3"
"700468752366735360";"307wyo1"
"717128761590812673";"32BJSEIU"
"719894634080677888";"350action"
"699688351968825344";"360North"
"699765478021959680";"360North"
"700401652390473729";"360North"
"721562678074839040";"360North"
"716697728936493061";"3OH3"
"716742719184453633";"3OH3"
"705135127261745156";"3sticksCGCS"
"689141774791540737";"4"
"689154549030887426";"4"
"689167858790604800";"4"
"689172559808430080";"4"
"689178939697139712";"4"
"689181014334156800";"4"
"689190528378769409";"4"
"728930633804701696";"4"
"694294543408222208";"41ActionNews"
"723524089290346496";"420fest"
"692451925543890944";"4LastingChange"
"704803871915245568";"4LastingChange"
"718914645583462401";"4pm"
"722922252015169536";"501barandgrill"
"690262366076977152";"511PAStatewide"
"690262474743005184";"511PAStatewide"
"690534062327480321";"511PAStatewide"
"708395965137334272";"5280Magazine"
"696135293049540608";"580KIDO"
"698555233450881024";"580KIDO"
"704313164461027328";"580KIDO"
"693247351792754688";"5sahandful"
"719994716381577216";"6"
"688913555681361920";"60Minutes"
"691476232043569152";"60Minutes"
"714457256708866048";"620wtmj"
"717533507598356480";"620wtmj"
"717538770048909312";"620wtmj"
"704355978624499714";"6ftBlondChick"
"687435044894453760";"71Demon"
"687436822700527616";"71Demon"
"708324281822920705";"71Demon"
"708345612132093957";"71Demon"
"685657425404276737";"721tv"
"721486346699829249";"77WABCradio"
"686325877915832320";"7eleven"
"687324984352477184";"7Marshall"
"717125201574531072";"7Marshall"
"719667886520815616";"7Marshall"
"719668611342737414";"7Marshall"
"719680248250404864";"7Marshall"
"704105836172460032";"7News"
"712260059103830016";"7NEWSDenver"
"716421139283648512";"7NEWSDenver"
"702577753011445760";"7SkiesTech"
"697540584383197185";"8"
"717734244731260928";"8035"
"717734313211600897";"8035"
"717734390567157760";"8035"
"717734509328908288";"8035"
"717841072416620544";"8035"
"709796662114328576";"82mge"
"689457670332387328";"840WHAS"
"700664350172909568";"840WHAS"
"707218141294813184";"840WHAS"
"707221421529894912";"840WHAS"
"717421900721438721";"840WHAS"
"717436218460479489";"840WHAS"
"717453794288779264";"840WHAS"
"717723201174945792";"840WHAS"
"724636686567788544";"850WFTL"
"702369039121838080";"85thLegislature"
"697823593850343425";"889WEKU"
"683827203482583044";"8NewsNow"
"690257979220725760";"8NewsNow"
"693692848571482112";"8NewsNow"
"702372921226960898";"8NewsNow"
"708021927143559169";"8NewsNow"
"708098762871164928";"8NewsNow"
"708099706308538368";"8NewsNow"
"714905956698619904";"8NewsNow"
"715198779935174656";"8NewsNow"
"717471750678667264";"8NewsNow"
"723651150793314304";"910Superstation"
"726502601949335557";"910Superstation"
