"tid";"hastagname"
682713066287566848;"NYE2016"
682713068250492936;"sayfie"
682714977573191684;"CactusBowl"
682721679697555456;"TeamMarco"
682722293169041408;"NewYear"
682724947756634113;"coleg"
682724947756634113;"copolitics"
682743201611038721;"Education"
682743201611038721;"NYE2016"
682746311280476160;"gop"
682746311280476160;"leadright2016"
682746311280476160;"nmpol"
682758303387119616;"highered"
682758303387119616;"NYE2016"
682788443353563136;"ncga"
682788443353563136;"ncgov"
682788443353563136;"ncpol"
682788443353563136;"ncsen"
682789119877988352;"HappyNewYear"
682789225138290688;"8NN"
682789225138290688;"VegasNYE"
682789667788451840;"GoBucks"
682789667788451840;"NYE2016"
682790326373724160;"VegasNYE"
682792967736848385;"HappyNewYearAmerica"
682796357870960641;"4real"
682804076367708160;"TNGOP"
682805320217980929;"MarALago"
682814394774892545;"IN05"
682879729045643264;"HappyNewYear"
682901020566024192;"itsNOTtransparent"
682901020566024192;"NoTollsInRI"
682901020566024192;"ShowUsTheGantries"
682902340656037888;"NoTollsInRI"
682920570346954752;"HappyNewYear"
682924865456844800;"NewYears"
682930330047791104;"NewYear"
682930330047791104;"RhodeIsland"
682931798704132097;"sayfie"
682940732437606400;"sayfie"
682941039158669312;"GOP2016"
682941039158669312;"LeadRight2016"
682942811503640576;"MoLeg"
682942925081198592;"moleg"
682943204845486080;"MoLeg"
682950477546303488;"NewYear"
682954511510560768;"HappyNewYear"
682968589826146306;"Philly2015"
682969201485557762;"FoxNews2016"
682970508871208961;"kyga16"
682975219217231872;"GBO"
682975219217231872;"HappyNewYear"
682975219217231872;"RockyTop"
682975219217231872;"VOLS"
682977291492802561;"sayfie"
682985146455310336;"Buckeyes"
682985146455310336;"OSUvsND"
682990453470281729;"HappyNewYear"
682990453470281729;"OregonFamily"
682991018262708225;"NewYear"
683006320354668544;"Hillary2016"
683009072820404224;"akleg"
683014243726274564;"HappyNewYear"
683014243726274564;"NewYearsDay"
683014243726274564;"Ohio"
683017828904087553;"HappyNewYear"
683018740657688576;"INLegis"
683023275983781889;"ItsNotWorking"
683023406418276352;"RoseBowl"
683027797774712832;"HappyNewYear"
683027889197957121;"happynewyear2016"
683033752210116608;"lagov"
683033752210116608;"lalege"
683034201327714304;"BernieRoseParade"
683035524370661376;"AKleg"
683050309044834304;"HappyNewYear"
683066650627846144;"trump2016"
683071547926540289;"INLegis"
683071547926540289;"INtheBriefingRoom"
683074951923019776;"FiestaBowl"
683099389624111108;"utpol"
683101697720348672;"wvpol"
683105699283517440;"INLegis"
683105699283517440;"INtheBriefingRoom"
683128636279361537;"MakeAmericaGreatAgain"
683128636279361537;"VoteTrump2016"
683278243428974592;"Cranston"
683278243428974592;"OpenForBusiness"
683278243428974592;"Top50CityInTheUSA"
683278641694945280;"itsNOTtransparent"
683278641694945280;"NoTollsInRI"
683278641694945280;"ShowUsTheGantries"
683279543604482048;"NoTollsInRI"
683279543604482048;"VoteJohnPagliarini"
683279807271026688;"NoTollsInRI"
683279807271026688;"Politics"
683279807271026688;"RI"
683279807271026688;"VotePagliarini"
683280005711933441;"NoTollsInRI"
683281444232364039;"ChocolatesWithCosta"
683305489833275393;"VAReform"
683311452275499008;"NoTollsInRI"
683311452275499008;"ShowUsTheGantries"
683311452275499008;"TrucksNowCarsLater"
683315281066737665;"MILeg"
683315281066737665;"MISenate"
683344283194253312;"BernieInAmherst"
683349139833270272;"iacaucus"
683350311277219840;"akleg"
683350311277219840;"Alaska"
683350311277219840;"eatlocal"
683350511081402369;"BernieInMA"
683352764026589184;"mapoli"
683354189163003904;"BernieInMa"
683354399473823746;"BernieInMA"
683357682690985984;"FirstCall"
683359701820674049;"BernieInMA"
683362058721734656;"BernieinMA"
683362477724274688;"BernieInMA"
683362488239390720;"RFRA"
683365355809587200;"vtpoli"
683365382665678848;"GilmoreShouldDebate"
683368148372996096;"BernieInMA"
683368197647667200;"BernieInMA"
683369590798221312;"NE02"
683369590798221312;"YearInReview"
683372497379659776;"BernieinMA"
683377976201752576;"SnapchatSkills"
683384786984038400;"nhpolitics"
683391264939708421;"itsNOTtransparent"
683391264939708421;"NoTollsInRI"
683391264939708421;"ShowUsTheGantries"
683403499447676928;"BernieInMA"
683418056417251328;"VoteTrump2016"
683425325360005120;"BTV"
683433849993363456;"BC2DC2016"
683435692223926272;"StopHillary"
683436883959889921;"1stInTheSouth"
683436883959889921;"SCForBernie"
683456919332192257;"RJnow"
683457907195654145;"NE02"
683457907195654145;"YearInReview"
683461284629614593;"fitn"
683488833112006656;"BeautifulNebraska"
683488833112006656;"Sunset"
683498850087129088;"CactusBowl"
683498850087129088;"ForkEm"
683509528453869569;"ISIS"
683511482684936192;"Biloxi"
683511482684936192;"Mississippi"
683511482684936192;"VoteTrump2016"
683521456790220800;"Trump"
683521627930365952;"Biloxi"
683524884484390912;"OregonUnderAttack"
683525334403166208;"OregonUnderAttack"
683536437438885888;"Oregonstandoff"
683536906802442241;"Oregonunderattack"
683537479614369793;"oregonunderattack"
683538988301299712;"Oregon"
683548044378279936;"CactusBowl"
683552788308045824;"HailWV"
683622009956364288;"itsNOTtransparent"
683622009956364288;"NoTollsInRI"
683622009956364288;"ShowUsTheGantries"
683623143878082562;"NoTollsInRI"
683623350795681797;"NoTollsInRI"
683623350795681797;"Politics"
683623350795681797;"RI"
683623350795681797;"VotePagliarini"
683623897586135041;"itsNOTtransparent"
683623897586135041;"NoTollsInRI"
683623897586135041;"ShowUsTheGantries"
683624709641121792;"Gambling"
683624709641121792;"GunControl"
683624709641121792;"SpendSpendSpend"
683624709641121792;"Tolls"
