"screen_name";"name";"sub_category";"category";"ofstate";"numFollowers";"numFollowing"
"007cigarjoe";"007cigarjoe";"";"";"";0;0
"0123missy";"0123missy";"";"";"";0;0
"0boy";"0boy";"";"";"";0;0
"1011CN_News";"1011CN_News";"";"";"";0;0
"1011_News";"1011_News";"";"";"";0;0
"1015Mike";"1015Mike";"";"";"";0;0
"1030_KVOI";"1030_KVOI";"";"";"";0;0
"1041kqth";"1041kqth";"";"";"";0;0
"1063WORD";"1063WORD";"";"";"";0;0
"10News";"10News";"";"";"";0;0
"10newsvanhyfte";"10newsvanhyfte";"";"";"";0;0
"10SDDem";"10SDDem";"";"";"";0;0
"10TV";"10TV";"";"";"";0;0
"11AliveNews";"11AliveNews";"";"";"";0;0
"11phenomenon";"11phenomenon";"";"";"";0;0
"1290KOIL";"1290KOIL";"";"";"";0;0
"12News";"12News";"";"";"";0;0
"12pm";"12pm";"";"";"";0;0
"1313Innovation";"1313Innovation";"";"";"";0;0
"1320WILS";"1320WILS";"";"";"";0;0
"13a94b823b0e451";"13a94b823b0e451";"";"";"";0;0
"13LauraGeller";"13LauraGeller";"";"";"";0;0
"13NewsNow";"13NewsNow";"";"";"";0;0
"1400WBAT";"1400WBAT";"";"";"";0;0
"1430WNAV";"1430WNAV";"";"";"";0;0
"16WAPTNews";"16WAPTNews";"";"";"";0;0
"1700West";"1700West";"";"";"";0;0
"180099native";"180099native";"";"";"";0;0
"195Commission";"195Commission";"";"";"";0;0
"1cheekybastard";"1cheekybastard";"";"";"";0;0
"1future";"1future";"";"";"";0;0
"1JoelFox1";"1JoelFox1";"";"";"";0;0
"1KatieOrr";"1KatieOrr";"";"";"";0;0
"1LaRenda";"1LaRenda";"";"";"";0;0
"1M26";"1M26";"";"";"";0;0
"1MelissaStewart";"1MelissaStewart";"";"";"";0;0
"1NadineSmith";"1NadineSmith";"";"";"";0;0
"1sonny12";"1sonny12";"";"";"";0;0
"211CT";"211CT";"";"";"";0;0
"21WFMJNews";"21WFMJNews";"";"";"";0;0
"23rdNNC";"23rdNNC";"";"";"";0;0
"249Toni";"249Toni";"";"";"";0;0
"2510_Restaurant";"2510_Restaurant";"";"";"";0;0
"262MEBrown";"262MEBrown";"";"";"";0;0
"28andJefferson";"28andJefferson";"";"";"";0;0
"2AvSagas";"2AvSagas";"";"";"";0;0
"2davidl";"2davidl";"";"";"";0;0
"2Dmonds1Pistol";"2Dmonds1Pistol";"";"";"";0;0
"2presspapers";"2presspapers";"";"";"";0;0
"2whltrvlr";"2whltrvlr";"";"";"";0;0
"3";"3";"";"";"";0;0
"307wyo1";"307wyo1";"";"";"";0;0
"32BJSEIU";"32BJSEIU";"";"";"";0;0
"350action";"350action";"";"";"";0;0
"360North";"360North";"";"";"";0;0
"3OH3";"3OH3";"";"";"";0;0
"3sticksCGCS";"3sticksCGCS";"";"";"";0;0
"4";"4";"";"";"";0;0
"41ActionNews";"41ActionNews";"";"";"";0;0
"420fest";"420fest";"";"";"";0;0
"45forthe45th";"";"na";"general";"na";228;784
"4LastingChange";"4LastingChange";"";"";"";0;0
"4pm";"4pm";"";"";"";0;0
"501barandgrill";"501barandgrill";"";"";"";0;0
"511PAStatewide";"511PAStatewide";"";"";"";0;0
"5280Magazine";"5280Magazine";"";"";"";0;0
"580KIDO";"580KIDO";"";"";"";0;0
"5sahandful";"5sahandful";"";"";"";0;0
"6";"6";"";"";"";0;0
"60Minutes";"60Minutes";"";"";"";0;0
"620wtmj";"620wtmj";"";"";"";0;0
"6ftBlondChick";"6ftBlondChick";"";"";"";0;0
"71Demon";"71Demon";"";"";"";0;0
"721tv";"721tv";"";"";"";0;0
"77WABCradio";"77WABCradio";"";"";"";0;0
"7eleven";"7eleven";"";"";"";0;0
"7Marshall";"7Marshall";"";"";"";0;0
"7News";"7News";"";"";"";0;0
"7NEWSDenver";"7NEWSDenver";"";"";"";0;0
"7SkiesTech";"7SkiesTech";"";"";"";0;0
"8";"8";"";"";"";0;0
"8035";"8035";"";"";"";0;0
"82mge";"82mge";"";"";"";0;0
"840WHAS";"840WHAS";"";"";"";0;0
"850WFTL";"850WFTL";"";"";"";0;0
"85thLegislature";"85thLegislature";"";"";"";0;0
"889WEKU";"889WEKU";"";"";"";0;0
"8NewsNow";"8NewsNow";"";"";"";0;0
"910Superstation";"910Superstation";"";"";"";0;0
"93101Dianne";"93101Dianne";"";"";"";0;0
"93wibc";"93wibc";"";"";"";0;0
"953MNC";"953MNC";"";"";"";0;0
"960ThePatriot";"960ThePatriot";"";"";"";0;0
"970wfla";"970wfla";"";"";"";0;0
"971FMTalk";"971FMTalk";"";"";"";0;0
"9CoachG";"9CoachG";"";"";"";0;0
"9NEWS";"9NEWS";"";"";"";0;0
"9NEWSpolitics";"9NEWSpolitics";"";"";"";0;0
"9thDistrictNJ";"9thDistrictNJ";"";"";"";0;0
"9TheGallery";"9TheGallery";"";"";"";0;0
"9thFloorAZ";"9thFloorAZ";"";"";"";0;0
"9to5Colorado";"9to5Colorado";"";"";"";0;0
"a";"a";"";"";"";0;0
"A2CHS";"A2CHS";"";"";"";0;0
"A2schools";"A2schools";"";"";"";0;0
"A2SchoolsSuper";"A2SchoolsSuper";"";"";"";0;0
"aaa11_NEO";"aaa11_NEO";"";"";"";0;0
"AAAauto";"AAAauto";"";"";"";0;0
"AAAJ_LA";"AAAJ_LA";"";"";"";0;0
"AAAnews";"AAAnews";"";"";"";0;0
"aaasshhleeyyyy";"aaasshhleeyyyy";"";"";"";0;0
"aabramson";"aabramson";"";"";"";0;0
"AACAP";"AACAP";"";"";"";0;0
"AACNCDemparty";"AACNCDemparty";"";"";"";0;0
"aacosta30";"aacosta30";"";"";"";0;0
"aaechighschools";"aaechighschools";"";"";"";0;0
"AAF";"AAF";"";"";"";0;0
"aafp";"aafp";"";"";"";0;0
"aaja";"aaja";"";"";"";0;0
"AamerISmad";"AamerISmad";"";"";"";0;0
"aamidway";"aamidway";"";"";"";0;0
"AAPIforBernie";"AAPIforBernie";"na";"general";"na";1336;499
"AAPPD";"AAPPD";"";"";"";0;0
"aaps";"aaps";"";"";"";0;0
"aapyles";"aapyles";"";"";"";0;0
"AaronBlake";"AaronBlake";"";"";"";0;0
"AaronBMacLean";"AaronBMacLean";"";"";"";0;0
"aarondelay";"aarondelay";"";"";"";0;0
"AaronDFordNV";"AaronDFordNV";"";"";"";0;0
"AaronEmerson09";"AaronEmerson09";"";"";"";0;0
"aaronflint";"aaronflint";"";"";"";0;0
"AaronHenricks";"AaronHenricks";"";"";"";0;0
"AaronLoweAL";"AaronLoweAL";"";"";"";0;0
"aaronmartinj";"aaronmartinj";"";"";"";0;0
"AaronMehta";"AaronMehta";"";"";"";0;0
"AaronMesh";"AaronMesh";"";"";"";0;0
"AaronPBean";"AaronPBean";"";"";"";0;0
"AaronRodgers12";"AaronRodgers12";"";"";"";0;0
"AaronSims31";"";"na";"general";"na";979;1124
"AARPadvocates";"AARPadvocates";"";"";"";0;0
"AARPAlaska";"AARPAlaska";"";"";"";0;0
"AARPCO";"AARPCO";"";"";"";0;0
"AARPCT";"AARPCT";"";"";"";0;0
"aarpfraudwatch";"aarpfraudwatch";"";"";"";0;0
"aarpia";"aarpia";"";"";"";0;0
"AARPTX";"AARPTX";"";"";"";0;0
"AARPWY";"AARPWY";"";"";"";0;0
"AARSuccess";"AARSuccess";"";"";"";0;0
"AAUW";"AAUW";"";"";"";0;0
"abbeyrd99";"abbeyrd99";"";"";"";0;0
"abbijacobson";"abbijacobson";"";"";"";0;0
"abbydphillip";"abbydphillip";"";"";"";0;0
"abbylski";"abbylski";"";"";"";0;0
"AbbyTruth";"AbbyTruth";"";"";"";0;0
"AbbyWambach";"AbbyWambach";"";"";"";0;0
"ABC";"ABC";"";"";"";0;0
"ABC11_WTVD";"ABC11_WTVD";"";"";"";0;0
"ABC12WJRT";"ABC12WJRT";"";"";"";0;0
"abc13houston";"abc13houston";"";"";"";0;0
"ABC22FOX45";"ABC22FOX45";"";"";"";0;0
"ABC4Glen";"ABC4Glen";"";"";"";0;0
"abc4utah";"abc4utah";"";"";"";0;0
"ABC6";"ABC6";"";"";"";0;0
"abc7breaking";"abc7breaking";"";"";"";0;0
"ABC7Chicago";"ABC7Chicago";"";"";"";0;0
"abc7elex";"abc7elex";"";"";"";0;0
"abcnews";"abcnews";"";"";"";0;0
"ABCNews4";"ABCNews4";"";"";"";0;0
"ABCPolitics";"ABCPolitics";"";"";"";0;0
"abecker_4";"abecker_4";"";"";"";0;0
"abeckettwrn";"abeckettwrn";"";"";"";0;0
